Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
ENB.TO,Enbridge Inc.,Energy,5.3309000000000004e-08,4.7071e-08,3.9087e-08
EDV.TO,Endeavour Mining plc,Basic Materials,2.5081e-09,2.6421000000000002e-09,1.4241e-09
EDR.TO,Endeavour Silver Corp.,Basic Materials,2.1016e-10,1.6532e-10,1.3846100000000001e-10
EFX.TO,Enerflex Ltd.,Energy,1.777798e-09,9.601559999999999e-10,1.2170519999999999e-09
EFR.TO,Energy Fuels Inc.,Energy,1.2515000000000002e-11,3.184e-12,1.6579999999999998e-12
ERF.TO,Enerplus Corporation,Energy,2.3533739999999997e-09,1.4825750000000001e-09,6.465909999999999e-10
ENGH.TO,Enghouse Systems Limited,Technology,4.54022e-10,4.27585e-10,4.67177e-10
ESI.TO,Ensign Energy Services Inc.,Energy,1.5773289999999999e-09,9.955940000000001e-10,9.36818e-10
E.TO,"Enterprise Group, Inc.",Energy,2.6892249e-11,1.8732335e-11,1.5520104999999998e-11
EGLX.TO,Enthusiast Gaming Holdings Inc.,Communication Services,2.02835921e-10,1.67364286e-10,7.2758717e-11
ETG.TO,Entrée Resources Ltd.,Basic Materials,0.0,0.0,0.0
EQB.TO,EQB Inc.,Financial Services,7.82186e-10,6.429070000000001e-10,5.56833e-10
EQX.TO,Equinox Gold Corp.,Basic Materials,9.52196e-10,1.082286e-09,8.453880000000001e-10
ERD.TO,Erdene Resource Development Corporation,Basic Materials,0.0,0.0,0.0
ERO.TO,Ero Copper Corp.,Basic Materials,4.26392e-10,4.899150000000001e-10,3.24076e-10
EPRX.TO,Eupraxia Pharmaceuticals Inc.,Healthcare,0.0,0.0,0.0
ESM.TO,Euro Sun Mining Inc.,Basic Materials,0.0,0.0,0.0
ET.TO,Evertz Technologies Limited,Technology,4.54578e-10,4.41016e-10,3.42888e-10
EXN.TO,Excellon Resources Inc.,Basic Materials,2.5824000000000003e-11,3.7955e-11,2.6202000000000002e-11
MIN.TO,Excelsior Mining Corp.,Basic Materials,4.177999999999999e-12,5.033000000000001e-12,0.0
EIF.TO,Exchange Income Corporation,Industrials,2.0593730000000002e-09,1.413146e-09,1.149629e-09
XTC.TO,Exco Technologies Limited,Consumer Cyclical,6.193029999999999e-10,4.89943e-10,4.61171e-10
